Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
Q15036	Q15036	SNX17_HUMAN	SNX17		2.06839e+06	1.72946e+06	1.68428e+06	1.54068e+06	1.92162e+06	1.68794e+06
Q15042	Q15042;A0A8I5KRH8;A0A8J9AUI2	RB3GP_HUMAN	RAB3GAP1		2.04149e+06	2.07158e+06	2.20978e+06	1.85083e+06	2.20933e+06	2.21516e+06
Q15043	Q15043;E5RFZ8;E5RGA7;E5RIP4;E5RJ40;E5RJG5	S39AE_HUMAN	SLC39A14		546107	608622	647455	292695	615439	616409
Q15046	Q15046;H3BVA8	SYK_HUMAN	KARS1		1.48219e+07	1.37832e+07	1.49983e+07	1.21909e+07	1.45619e+07	1.41341e+07
Q15047	Q15047;A0A8I5KT93;E9PRF4;E9PQM8	SETB1_HUMAN	SETDB1		552015	754354	567569	674700	630390	633025
Q15048	Q15048;E9PNL0;E9PP40;E9PRP5	LRC14_HUMAN	LRRC14					370124	207692	137586
Q15050	Q15050	RRS1_HUMAN	RRS1		1.02284e+07	9.88272e+06	1.04342e+07	9.15527e+06	9.92179e+06	9.51458e+06
Q15052	Q15052	ARHG6_HUMAN	ARHGEF6		795659	533976	829730	1.06376e+06	709766	459765
Q15054	Q15054	DPOD3_HUMAN	POLD3		1.36503e+06	1.44476e+06	1.35997e+06	1.30804e+06	1.68586e+06	1.50135e+06
Q15056	Q15056;A0A7I2V4E4;A0A7I2V3D5;A0A7I2V3E4	IF4H_HUMAN	EIF4H		7.3744e+07	7.48625e+07	7.43576e+07	6.831e+07	7.48152e+07	7.20246e+07
Q15057	Q15057;A0A0U1RQT1;H7C3K3	ACAP2_HUMAN	ACAP2		1.2268e+06	1.56351e+06	1.51602e+06	738413	1.4911e+06	1.63404e+06
Q15058	Q15058	KIF14_HUMAN	KIF14		1.84752e+06	1.92542e+06	1.88184e+06	1.82747e+06	1.91604e+06	1.94143e+06
Q15059	Q15059	BRD3_HUMAN	BRD3		892070	940081	1.08007e+06	712140	1.05925e+06	1.04087e+06
Q15061	Q15061	WDR43_HUMAN	WDR43		7.17541e+06	6.41958e+06	8.06068e+06	6.68606e+06	7.13607e+06	7.51752e+06
Q15067	Q15067;K7ENF1;K7ESC7	ACOX1_HUMAN	ACOX1		584947	636722	956182	585281	769377	1.06511e+06
Q15070	Q15070;A0A087X0L7;E7EVY0;J3KNA0	OXA1L_HUMAN	OXA1L		2.7308e+06	2.80266e+06	2.77741e+06	1.85678e+06	2.56173e+06	2.43516e+06
Q15075	Q15075	EEA1_HUMAN	EEA1		1.32388e+06	1.33061e+06	1.38759e+06	1.04197e+06	1.37218e+06	1.32627e+06
Q15084	Q15084	PDIA6_HUMAN	PDIA6		3.15811e+07	3.00197e+07	3.14348e+07	2.98442e+07	3.19641e+07	3.07014e+07
Q15102	Q15102;M0R389	PA1B3_HUMAN	PAFAH1B3		2.64774e+07	2.5933e+07	2.54998e+07	2.60811e+07	2.59352e+07	2.49499e+07
Q15111	Q15111;A0A0A0MT40;H3BUD4	PLCL1_HUMAN	PLCL1				165058		466431	423600
Q15118	Q15118;F8WEJ6	PDK1_HUMAN	PDK1		523341	956346	651880	996695	687007	918462
Q15121	Q15121	PEA15_HUMAN	PEA15		2.1842e+06	2.86952e+06	2.79161e+06	2.12611e+06	2.4841e+06	3.00773e+06
Q15124	Q15124;Q5JTY7	PGM5_HUMAN	PGM5							608339
Q15125	Q15125	EBP_HUMAN	EBP		100603	172208	241732		285322	111893
Q15126	Q15126	PMVK_HUMAN	PMVK		997488	1.00857e+06	961250	897822	892365	910329
Q15149	Q15149;H0YDN1;A0A8I5KSD5;A0A8I5KUE3;A0A8I5KYZ1;E9PMV1	PLEC_HUMAN	PLEC		1.0483e+07	1.08913e+07	1.0964e+07	1.01526e+07	1.10297e+07	1.09458e+07
Q15149;Q9UPN3	Q15149;Q9UPN3;A0A7P0MQR8;H0YDN1;H3BPE1;H3BQK9;A0A5F9ZGX0;A0A8I5KSD5;A0A8I5KUE3;A0A8I5KYZ1;E9PMV1	MACF1_HUMAN;PLEC_HUMAN	MACF1;PLEC		2.35259e+06	2.03809e+06	1.99685e+06	2.6417e+06	2.09747e+06	2.15491e+06
Q15154	Q15154;A0A4W8VX11;A0A5H1ZRS1;E7EV93;H0YBA1;E5RGQ4;E9PGW9	PCM1_HUMAN	PCM1		3.14831e+06	3.42013e+06	3.71706e+06	2.77659e+06	3.55602e+06	3.24268e+06
Q15155	P69849;Q15155;Q5JPE7;A0A0G2JN29;A0A0G2JP90;A0A7I2V2Z5;A0A7I2V3P4;A0A7I2V4D7;A0A7I2V4T6;A0A7I2V6B0;H3BPS9;J3KN36	NOMO1_HUMAN	NOMO1		1.13254e+06	1.29884e+06	1.40156e+06	1.2002e+06	1.39041e+06	1.37802e+06
Q15172	Q15172	2A5A_HUMAN	PPP2R5A		1.95299e+06	2.13127e+06	1.8732e+06	1.6745e+06	2.05343e+06	1.88136e+06
Q15181	Q15181	IPYR_HUMAN	PPA1		4.02412e+07	3.85134e+07	4.16312e+07	2.89532e+07	3.95627e+07	3.69035e+07
Q15185	Q15185;A0A087WYT3;B4DDC6	TEBP_HUMAN	PTGES3		6.63464e+07	6.49796e+07	8.66278e+07	4.01476e+07	5.45751e+07	5.81515e+07
Q15208	Q15208	STK38_HUMAN	STK38		875238	1.02725e+06	885803	1.04414e+06	1.02839e+06	907991
Q15233	Q15233;A0A7I2V464;A0A7I2V4J2;A0A7I2V4K9;A0A7I2V4N2;A0A7I2V535;A0A7I2V5Y7;A0A7P0MRW0;C9IZL7;C9J4X2;C9JYS8	NONO_HUMAN	NONO		5.29578e+07	7.18115e+06	7.99664e+07	2.63765e+07	6.33535e+07	6.12091e+07
Q15257	Q15257;A0A804CD06;A6PVN5;A6PVN6;A6PVN7;A6PVN8;C9IZ76;F6WIT2;Q5T949	PTPA_HUMAN	PTPA		8.69692e+06	8.80055e+06	8.27134e+06	9.03913e+06	8.61663e+06	9.50418e+06
Q15269	Q15269	PWP2_HUMAN	PWP2		9.89585e+06	9.50367e+06	9.63602e+06	1.01348e+07	9.54304e+06	9.8185e+06
Q15274	Q15274	NADC_HUMAN	QPRT		5.29278e+06	5.17524e+06	5.6914e+06	4.97493e+06	5.39125e+06	5.89942e+06
Q15276	Q15276	RABE1_HUMAN	RABEP1		410648	463561	456501	284638	478996	427978
Q15286	Q15286;F5H157	RAB35_HUMAN	RAB35		1.21398e+06	1.75282e+06	1.45437e+06	684558	1.49378e+06	1.24278e+06
Q15287	Q15287;H3BMM9;H3BPG5;H3BTC0;H3BV80	RNPS1_HUMAN	RNPS1		1.14745e+07	1.29748e+07	1.91551e+07	7.6762e+06	1.47695e+07	1.38064e+07
Q15291	Q15291	RBBP5_HUMAN	RBBP5		3.25553e+06	3.39116e+06	3.66545e+06	3.32757e+06	3.56434e+06	3.77825e+06
Q15293	Q15293	RCN1_HUMAN	RCN1		333106	422389	529026	293263	542456	361502
Q15311	Q15311	RBP1_HUMAN	RALBP1			483315			557918	1.23084e+06
Q15334	Q15334;A0A087WW77	L2GL1_HUMAN	LLGL1						110506	63065.8
Q15345	Q15345;A0A087WTU1;A0A087X0S7;A0A0B4J2G4	LRC41_HUMAN	LRRC41		227899	287803	391356		343748	310985
Q15361	Q15361	TTF1_HUMAN	TTF1			590914	640149		652566	604950
Q15363	Q15363;E7EQ72	TMED2_HUMAN	TMED2		370112		805864		647875	207185
Q15365	Q15365	PCBP1_HUMAN	PCBP1		1.0414e+08	9.88793e+07	8.74542e+07	1.03785e+08	9.24334e+07	9.11733e+07
Q15365;Q15366	P57721;Q15365;Q15366;P57723;C9IZV9;C9J0A4;C9J5V4;C9J7A9;C9JSA6;C9JTY5;C9JZY3;C9K0A2;E9PFP8;F8VTZ0;F8VZX2;F8W0G4;F8W1G6;F8WC71;H3BRU6;H3BSP4;J3QT27	PCBP1_HUMAN;PCBP2_HUMAN	PCBP1;PCBP2		6.12021e+07	5.96527e+07	8.55543e+07	2.62287e+07	7.2639e+07	6.73986e+07
Q15366	Q15366;H3BSS4;F8VZX2;H3BRU6	PCBP2_HUMAN	PCBP2		9.02712e+07	8.47135e+07	8.46773e+07	8.72482e+07	8.78519e+07	8.76726e+07
Q15369	Q15369;A0A8I5KYG1;A0A8J9AD82;E5RHG8;R4GMY8	ELOC_HUMAN	ELOC		8.46263e+06	7.22804e+06	8.01888e+06	7.78147e+06	7.80709e+06	7.68844e+06
Q15370	Q15370;A0A0B4J296;A0A8I5KUS5;B8ZZU8;I3L0M9	ELOB_HUMAN	ELOB		3.13152e+07	3.10281e+07	3.01198e+07	3.23117e+07	3.02324e+07	3.05221e+07
Q15382	Q15382;C9J469;C9J931	RHEB_HUMAN	RHEB		5.10261e+06	4.95638e+06	5.28517e+06	4.91892e+06	5.14685e+06	5.07695e+06
Q15386	Q15386	UBE3C_HUMAN	UBE3C		1.35035e+06	1.17166e+06	1.311e+06	1.16352e+06	1.42561e+06	1.27932e+06
Q15388	Q15388	TOM20_HUMAN	TOMM20		1.44829e+07	1.59607e+07	1.49568e+07	6.19659e+06	1.46761e+07	1.41783e+07
Q15390	Q15390;H0YBZ4	MTFR1_HUMAN	MTFR1							83642.9
Q15392	Q15392;A0A0A0MTI1	DHC24_HUMAN	DHCR24		391164	1.42202e+06	506677		626375	
Q15393	Q15393	SF3B3_HUMAN	SF3B3		2.88669e+07	2.82231e+07	2.92112e+07	2.69958e+07	2.86497e+07	2.79179e+07
Q15397	Q15397	PUM3_HUMAN	PUM3		2.98615e+06	3.19498e+06	2.96646e+06	3.24148e+06	2.81245e+06	3.15431e+06
Q15398	Q15398;G3V4E5	DLGP5_HUMAN	DLGAP5		2.47834e+06	2.3441e+06	2.72388e+06	2.00762e+06	2.45665e+06	2.48994e+06
Q15404	Q15404	RSU1_HUMAN	RSU1		4.24031e+06	5.37234e+06	5.00766e+06	3.12626e+06	4.94543e+06	5.15907e+06
Q15418	Q15418;E9PGT3;Q5SVM6	KS6A1_HUMAN	RPS6KA1		2.33443e+06	2.55514e+06	1.95543e+06	2.29913e+06	2.14843e+06	2.51053e+06
Q15424	Q15424	SAFB1_HUMAN	SAFB		1.20708e+07	1.22211e+07	1.60141e+07	1.20059e+07	1.28489e+07	1.18062e+07
Q15427	Q15427;Q5SZ64	SF3B4_HUMAN	SF3B4		1.12534e+07	9.74079e+06	1.04982e+07	9.51565e+06	1.04521e+07	9.81628e+06
Q15428	Q15428;K7EMT0	SF3A2_HUMAN	SF3A2		3.17308e+06	2.88469e+06	2.43934e+06	3.72512e+06	2.6197e+06	2.02078e+06
Q15435	Q15435;H7C003;H7C3Q5	PP1R7_HUMAN	PPP1R7		3.05249e+06	3.18019e+06	3.43956e+06	2.73139e+06	3.04435e+06	2.94242e+06
Q15436	Q15436;F5H365	SC23A_HUMAN	SEC23A		783950	1.00277e+06	998063	769975	1.04654e+06	847888
Q15436;Q15437	Q15436;Q15437;A0A2R8Y7S7;A0A2R8YFH5;F5H365;G3V1W4;G3V2R6;G3V3G5;G3V4Q2;G3V4V1;G3V5X8;Q5QPE2;A0A2R8Y633;A0A2R8YF30;G3V5K1	SC23A_HUMAN;SC23B_HUMAN	SEC23A;SEC23B				1.58522e+06			1.15572e+06
Q15437	Q15437;A0A2R8YFH5;Q5QPE1	SC23B_HUMAN	SEC23B		3.69059e+06	3.50757e+06	4.15137e+06	3.64112e+06	3.86297e+06	3.64738e+06
Q15459	Q15459	SF3A1_HUMAN	SF3A1		1.79038e+07	1.80033e+07	1.88838e+07	1.7049e+07	1.81672e+07	1.74426e+07
Q15465	Q15465	SHH_HUMAN	SHH			1.51118e+06		1.64349e+06		1.56088e+06
Q15468	Q15468;E9PSF2;A0A0A0MR87;Q5T0C7	STIL_HUMAN	STIL		320224	582192	469010	271192	465497	212912
Q15526	Q15526	SURF1_HUMAN	SURF1			798672	138444		182988	926775
Q15527	Q15527	SURF2_HUMAN	SURF2		968826	814377		857701		929951
Q15528	Q15528;E7EN96;E9PGW7;Q5T8T7;Q5T8T8	MED22_HUMAN	MED22		774713	884026	981135	556850	921366	849854
Q15532	Q15532;F5GWN1;J3KRP6;J3KT74;J3QQM2;J3QQW2;J3QS72;X6R3J2	SSXT_HUMAN	SS18		4.77466e+06	5.35116e+06	4.68808e+06	4.78396e+06	4.29519e+06	5.15521e+06
Q15542	Q15542	TAF5_HUMAN	TAF5		1.46093e+06	1.05721e+06	1.34614e+06	1.38172e+06	1.3183e+06	1.11459e+06
Q15543	Q15543;A0A8J9AJQ9	TAF13_HUMAN	TAF13							144878
Q15544	Q15544;A0A3B3ITY8	TAF11_HUMAN	TAF11			178938	156876			144661
Q15545	Q15545	TAF7_HUMAN	TAF7		2.08354e+06	2.4955e+06	3.16594e+06	2.14365e+06	3.02942e+06	2.60761e+06
Q15554	Q15554;H3BR06;J3KSZ6;U3KQ35;H3BTA7	TERF2_HUMAN	TERF2		747626	825179	583229	566205	904604	789574
Q15555	Q15555;K7EL66;K7ERD8	MARE2_HUMAN	MAPRE2		4.8063e+06	5.73163e+06	5.03378e+06	5.00088e+06	5.82084e+06	5.77447e+06
Q15555;Q9UPY8	Q15555;Q9UPY8;C9JB30;K7EL66;K7ENB3;K7ERD8;M0QX52	MARE2_HUMAN;MARE3_HUMAN	MAPRE2;MAPRE3							
Q15582	Q15582;H0Y8L3;H0Y9D7;S4R3C6	BGH3_HUMAN	TGFBI							
Q15599	Q15599	NHRF2_HUMAN	NHERF2		1.12495e+06	990910	1.06409e+06	709266	1.13266e+06	948275
Q15628	Q15628	TRADD_HUMAN	TRADD			549979				473811
Q15631	Q15631;E9PGT1;A0A0J9YVW2;H7C1D4	TSN_HUMAN	TSN		2.29963e+07	2.15168e+07	2.1126e+07	2.25034e+07	2.17015e+07	2.12019e+07
Q15633	Q15633;F8VSA1;H3BV98	TRBP2_HUMAN	TARBP2		2.1249e+06	2.32172e+06	1.36601e+06	1.99175e+06	1.94712e+06	1.61556e+06
Q15637	Q15637;A0A7P0T9U7;F8WEV5	SF01_HUMAN	SF1		1.45096e+07	1.43475e+07	2.07169e+07	1.00133e+07	1.64129e+07	1.54373e+07
Q15642	Q15642;M0R0F9;W4VSQ9;M0R2H7	CIP4_HUMAN	TRIP10		3.73294e+06	4.108e+06	4.17641e+06	4.19677e+06	3.34082e+06	4.11209e+06
Q15643	Q15643;H0YJ97	TRIPB_HUMAN	TRIP11			413340	335182		408849	401047
Q15645	Q15645;H0YAL2	PCH2_HUMAN	TRIP13		3.96875e+06	4.12895e+06	4.01378e+06	4.12461e+06	3.93969e+06	3.86799e+06
Q15648	Q15648	MED1_HUMAN	MED1		1.8005e+06	1.82204e+06	1.68497e+06	1.98618e+06	1.76862e+06	1.7586e+06
Q15650	Q15650;H0YL91;H3BMU9	TRIP4_HUMAN	TRIP4		1.15166e+06	1.16101e+06	1.37208e+06	923671	1.22783e+06	1.27252e+06
Q15652	Q15652	JHD2C_HUMAN	JMJD1C			233255	153158		224573	191169
Q15653	Q15653;G5E9C2;I3L1A4;I3L4X3	IKBB_HUMAN	NFKBIB		725891	659256	737218	508377	921334	791185
Q15654	Q15654	TRIP6_HUMAN	TRIP6		1.23987e+07	1.34681e+07	1.36538e+07	1.0589e+07	1.3032e+07	1.36349e+07
Q15691	Q15691	MARE1_HUMAN	MAPRE1		2.26656e+07	2.25292e+07	1.99795e+07	2.20907e+07	2.12915e+07	2.20866e+07
Q15691;Q9UPY8	Q15691;Q9UPY8;C9JB30	MARE1_HUMAN;MARE3_HUMAN	MAPRE1;MAPRE3		1.27352e+07	1.40684e+07	1.31826e+07	1.14754e+07	1.31105e+07	1.37244e+07
Q15714	Q15714	T22D1_HUMAN	TSC22D1		286089	414594	421596	173602	434255	330096
Q15717	Q15717	ELAV1_HUMAN	ELAVL1		3.75905e+07	3.73104e+07	3.64319e+07	3.93741e+07	3.65304e+07	3.6858e+07
Q15723	Q15723	ELF2_HUMAN	ELF2		152354	205145	150125		187210	214318
Q15738	Q15738;C9JDR0	NSDHL_HUMAN	NSDHL		2.38956e+06	2.3382e+06	2.37153e+06	2.208e+06	2.39473e+06	2.37704e+06
Q15742	Q15742	NAB2_HUMAN	NAB2			683684		853075		680214
Q15746	Q15746;A0A8I5KU53;A0A8I5KUP2;A0A8I5QKL9;A0A8I5KTQ1;A0A8I5KUB2	MYLK_HUMAN	MYLK		6.70933e+06	6.25076e+06				
Q15750	Q15750	TAB1_HUMAN	TAB1		2.61057e+06	2.65792e+06	2.94366e+06	2.45112e+06	2.93296e+06	2.87193e+06
Q15751	Q15751	HERC1_HUMAN	HERC1		1.24931e+06	1.37411e+06	1.45267e+06	1.12031e+06	1.47635e+06	1.51332e+06
Q15758	Q15758;M0QX44;M0QXM4	AAAT_HUMAN	SLC1A5		2.692e+07	2.61375e+07	2.48545e+07	2.7014e+07	2.59235e+07	2.58988e+07
Q15773	Q15773;F5H0Y3	MLF2_HUMAN	MLF2		2.31538e+06	2.51751e+06	3.9211e+06	2.83689e+06	2.96376e+06	2.88246e+06
Q15776	Q15776	ZKSC8_HUMAN	ZKSCAN8							
Q15785	Q15785	TOM34_HUMAN	TOMM34		1.06731e+07	1.09108e+07	1.09667e+07	9.57034e+06	1.118e+07	1.10957e+07
Q15788	Q15788;B5MCN7	NCOA1_HUMAN	NCOA1							
Q15796	Q15796	SMAD2_HUMAN	SMAD2			611145	753072	774369	811196	
Q15813	Q15813;A0A2R8Y5Q8;A0A2R8Y7E7;A0A2R8YHI9;A0A2R8Y6Q1;A0A2R8YFG9;A0A2U3TZJ6	TBCE_HUMAN	TBCE		4.13768e+06	3.9408e+06	3.72518e+06	4.35801e+06	4.02473e+06	4.07107e+06
Q15814	Q15814	TBCC_HUMAN	TBCC		2.81544e+06	3.17754e+06	3.1087e+06	3.14388e+06	3.09114e+06	3.05493e+06
Q15819	Q15819;G3V113;H0YBX6	UB2V2_HUMAN	UBE2V2		2.77957e+07	2.86616e+07	2.85076e+07	2.77172e+07	2.74098e+07	2.78092e+07
Q15831	Q15831	STK11_HUMAN	STK11			177209				
Q15833	Q15833;A0A8V8TNF6;M0R0M7;M0R1A1	STXB2_HUMAN	STXBP2		4.24797e+06	4.33252e+06	4.60491e+06	3.30691e+06	4.4238e+06	4.54704e+06
Q15836	Q15836	VAMP3_HUMAN	VAMP3		769184		1.06343e+06	207793	761882	880041
Q15843	Q15843	NEDD8_HUMAN	NEDD8		2.84378e+07	1.92672e+07	2.19666e+07	2.52312e+07	2.25917e+07	1.91775e+07
Q15853	Q15853;B4DLJ1;M0QY46	USF2_HUMAN	USF2		56972		47859.9		92920.4	
Q15904	Q15904;A0A7I2V3T8;A0A7I2YQA5;A6QRJ1	VAS1_HUMAN	ATP6AP1							
Q15906	Q15906	VPS72_HUMAN	VPS72			2.05688e+06	2.20604e+06	2.4193e+06	2.06011e+06	1.97657e+06
Q15907	P62491;Q15907;B4DQU5;H3BSC1;H3BMH2	RB11B_HUMAN	RAB11B		2.0623e+07	2.11965e+07	2.06859e+07	1.96148e+07	2.06375e+07	2.14976e+07
Q15910	Q15910;A0A804HLB8;E9PDH6;G3XAL2	EZH2_HUMAN	EZH2		1.82157e+06	1.81322e+06	1.91138e+06	1.48725e+06	1.83436e+06	1.80406e+06
Q15942	Q15942;H7C3R3	ZYX_HUMAN	ZYX		8.77465e+06	1.01394e+07	9.19099e+06	8.56314e+06	9.7492e+06	9.97573e+06
Q16134	Q16134;A0A804HI80;A0A804HJK8;A0A804HJT7;A0A804HK05;A0A804HKB8;A0A804HL81;A0A804HL84;B4DEQ0	ETFD_HUMAN	ETFDH		1.32696e+06	1.35136e+06	1.38224e+06	1.38251e+06	1.31561e+06	1.25842e+06
Q16181	Q16181;Q6ZU15;A0A024RA87;E7EPK1;E7ES33;G3V1Q4;A0A0U1RRE1;A0A0U1RRH9	SEPT7_HUMAN	SEPTIN7		9.1223e+06	9.30717e+06	9.70808e+06	8.11435e+06	9.61807e+06	9.45199e+06
Q16186	Q16186;A0A087WX59	ADRM1_HUMAN	ADRM1		5.09581e+06	5.15507e+06	6.07032e+06	3.79442e+06	5.34461e+06	5.42219e+06
Q16204	Q16204	CCDC6_HUMAN	CCDC6		3.77867e+06	4.10859e+06	3.75342e+06	3.32671e+06	3.82351e+06	3.868e+06
Q16222	Q16222	UAP1_HUMAN	UAP1		1.77805e+07	1.84577e+07	1.86939e+07	1.65695e+07	1.85932e+07	1.87354e+07
Q16222;Q3KQV9	Q16222;Q3KQV9	UAP1L_HUMAN;UAP1_HUMAN	UAP1;UAP1L1		3.10927e+07	2.82887e+07	2.7035e+07	3.03245e+07	2.71268e+07	2.91521e+07
Q16254	Q16254	E2F4_HUMAN	E2F4		985808	884544	447000		713624	750513
Q16342	Q16342;F5H4V9	PDCD2_HUMAN	PDCD2		3.6044e+06	3.9484e+06	4.30295e+06	3.79755e+06	3.4629e+06	3.82447e+06
Q16384	Q16384	SSX1_HUMAN	SSX1		3.41857e+06	2.79332e+06	3.39778e+06	3.3311e+06	3.13793e+06	2.95214e+06
Q16385	Q16385	SSX2_HUMAN	SSX2		312312	688654	673754		705376	677823
Q16401	Q16401	PSMD5_HUMAN	PSMD5		1.45508e+07	1.4026e+07	1.4156e+07	1.40604e+07	1.43946e+07	1.43446e+07
Q16512	Q16512;K7EL10	PKN1_HUMAN	PKN1		4.08875e+06	4.17053e+06	4.28042e+06	4.0793e+06	4.06227e+06	4.13062e+06
Q16512;Q16513	Q16512;Q16513;B1AL79;H0Y5V5;K7EKY9	PKN1_HUMAN;PKN2_HUMAN	PKN1;PKN2				868753			
Q16513	Q16513	PKN2_HUMAN	PKN2		701804	741180	751203	351666	856852	813430
Q16514	Q16514;A0A804HLG9;A0A8I5KTB6;A0A8I5KU09;A0A8I5KYW6;A0A8I5QKX2	TAF12_HUMAN	TAF12		1.00144e+06	960164	1.01773e+06	950924	1.11796e+06	966474
Q16531	Q16531;A0A7P0T870;A0A7P0T965;A0A7P0TAK7;A0A7P0TB30;A0A7P0Z3Z5;A0A7P0Z4B9;F5GWI0;F5GY55	DDB1_HUMAN	DDB1		1.70392e+07	1.70604e+07	1.64771e+07	1.63742e+07	1.6138e+07	1.68673e+07
Q16537	Q16537	2A5E_HUMAN	PPP2R5E			677224	476181		554225	572068
Q16539	Q16539;B4E0K5;B5TY33;E7EX54	MK14_HUMAN	MAPK14		2.52521e+06	2.75906e+06	2.69111e+06	2.10385e+06	2.58697e+06	2.76974e+06
Q16540	Q16540	RM23_HUMAN	MRPL23		3.51393e+06	3.22542e+06	3.4849e+06	3.2393e+06	3.27519e+06	3.29141e+06
Q16543	Q16543;K7EKQ2;K7EQA9	CDC37_HUMAN	CDC37		2.6752e+07	2.73746e+07	3.36734e+07	1.82801e+07	2.88478e+07	2.70058e+07
Q16563	Q16563;A0A0U1RQT9;A0A994J5J4;A0A994J5W6;A0A994J846;C9JYN0	SYPL1_HUMAN	SYPL1		2.99605e+06	3.39203e+06	3.3164e+06	2.83125e+06	3.49996e+06	2.71694e+06
Q16576	Q16576;E9PC52;Q5JP01	RBBP7_HUMAN	RBBP7		9.4698e+06	1.48762e+07	1.43251e+07	9.27009e+06	1.34606e+07	1.23961e+07
Q16594	Q16594;D6RIE8	TAF9_HUMAN	TAF9			831391	832361		1.2451e+06	859032
Q16594;Q9HBM6	Q16594;Q9HBM6;D6RGK3;D6RHW1;D6RIE8;D6RIV9;D6RIY1	TAF9B_HUMAN;TAF9_HUMAN	TAF9;TAF9B		1.77967e+06	1.77481e+06	1.8621e+06	1.8759e+06	1.57859e+06	1.99213e+06
Q16595	Q16595;C9JAX1;A0A2R8Y4G3;A0A2R8Y577;A0A2R8Y5A1	FRDA_HUMAN	FXN		2.48018e+06	2.61348e+06	2.55222e+06	1.76182e+06	2.70851e+06	2.77614e+06
Q16600	Q16600	ZN239_HUMAN	ZNF239						206868	
Q16610	Q16610	ECM1_HUMAN	ECM1			325707				
Q16621	Q16621;F8W1N9	NFE2_HUMAN	NFE2		3.80606e+06	3.93262e+06	3.64137e+06	3.86592e+06	3.97885e+06	3.97877e+06
Q16626	Q16626;A0A2R8Y6W5;A0A2R8Y7W8	MEA1_HUMAN	MEA1				1.61732e+06		1.13315e+06	1.06784e+06
Q16629	Q16629;C9JAB2;A0A0B4J1Z1	SRSF7_HUMAN	SRSF7		4.15129e+07	3.94754e+07	4.19933e+07	4.19373e+07	4.20162e+07	4.05955e+07
Q16630	Q16630;F8WJN3	CPSF6_HUMAN	CPSF6		9.66028e+06	9.55254e+06	1.09618e+07	9.79616e+06	9.84756e+06	9.04679e+06
Q16637	Q16637;A0A1W2PRV5;E7EQZ4;A0A0G2JRX5;A0A0G2JRY6;B4DP61;H0YBZ9	SMN_HUMAN	SMN1		2.24559e+06		3.27967e+06		2.00626e+06	2.7403e+06
Q16643	Q16643;D6R9W4;D6RCR4;D6RFI1	DREB_HUMAN	DBN1		8.74379e+06	8.35216e+06	8.81107e+06	6.91631e+06	8.60367e+06	8.63056e+06
Q16644	Q16644;C9J8E1;C9JPW3	MAPK3_HUMAN	MAPKAPK3		688431	774945	872326	504384	817428	897588
Q16656	Q16656	NRF1_HUMAN	NRF1		2.26721e+06	2.36013e+06	2.34516e+06	1.66252e+06	2.36487e+06	2.43119e+06
Q16658	Q16658;A0A0A0MSB2;C9JFC0;C9JPH9	FSCN1_HUMAN	FSCN1		6.31242e+07	5.91028e+07	6.50085e+07	5.91775e+07	6.21021e+07	5.83481e+07
Q16659	P07333;P08922;P31152;Q16659;Q5H8Y1;K7ELV1;K7EN18	MK06_HUMAN	MAPK6		514309	531916	1.06461e+06	760745	930937	914556
Q16698	Q16698;E5RFV2;E5RJD2;E5RJG7	DECR_HUMAN	DECR1		1.09735e+07	1.02775e+07	1.09592e+07	1.08947e+07	1.04711e+07	1.0603e+07
Q16706	Q16706	MA2A1_HUMAN	MAN2A1			137613	88512.6		114510	
Q16718	Q16718;A0A087X1G1;A0A7I2V2W4;A0A7I2V3L8;C9IZN5;F8WAS3;H7BYD0	NDUA5_HUMAN	NDUFA5		7.30316e+06	5.7333e+06	6.89618e+06	6.96239e+06	6.77979e+06	6.31159e+06
Q16719	Q16719	KYNU_HUMAN	KYNU							
Q16740	Q16740;M0R208	CLPP_HUMAN	CLPP		2.84474e+06	2.93798e+06	3.40125e+06	2.51215e+06	3.06459e+06	2.88629e+06
Q16762	Q16762;B1AH48	THTR_HUMAN	TST		1.92809e+06	2.45498e+06	2.14049e+06	1.33299e+06	2.34089e+06	2.0571e+06
Q16763	Q16763;K7EPJ1	UBE2S_HUMAN	UBE2S		7.04872e+06	6.37286e+06	6.37879e+06	7.03531e+06	6.58118e+06	6.25105e+06
Q16773	Q16773;A0A494C066;B7Z4W5	KAT1_HUMAN	KYAT1			785049	415202		505290	973863
Q16774	Q16774;B1ANG9;B1ANH0;B1ANH6;B1ANH3;B1ANH5	KGUA_HUMAN	GUK1		1.20013e+06	1.53944e+06	1.38043e+06	954342	1.17313e+06	1.51047e+06
Q16775	Q16775;H3BPK3;H3BV79	GLO2_HUMAN	HAGH		797464	825685	863234	782904	798410	843392
